seed,ori_res,mag_res,ang_res,runtime,num_nodes,num_targets,total_delta_ang,total_len,smoothness,work
0,15,0.5,0.5,43.893226623535156,3006,407,12.115200000000012,15.16478867294851,0.7989033188185165,6.675907856145883
0,30,0.5,0.5,14.16121530532837,1640,125,11.299200000000006,13.834708221455452,0.816728464318223,5.73088633034999
0,45,1.0,1.0,18.012382745742798,7156,994,12.929600000000008,18.518632861924242,0.698194088969941,7.92882792244408
0,60,1.0,1.0,18.07222890853882,7108,1252,8.838400000000005,11.860572328302048,0.7451916952531501,5.511779025635981
0,90,2.0,2.0,12.655085325241089,9934,2451,13.609600000000007,16.59619423542611,0.8200434272424372,8.19842350094189
0,180,2.0,2.0,62.14659237861633,45027,13277,14.353600000000007,16.691621887811582,0.8599284177699457,8.571641246845639
1,15,0.5,0.5,104.60480904579163,7302,933,10.929599999999986,14.114224490762115,0.7743677314438002,6.227799787253817
1,30,0.5,0.5,29.268450260162354,3038,281,9.662400000000012,12.883298059191972,0.7499942914932474,5.218395017995779
1,45,1.0,1.0,13.328279733657837,5214,774,9.920000000000009,13.275865743284971,0.7472205724148436,5.614416724465425
1,60,1.0,1.0,21.554211854934692,8324,1318,9.435200000000004,14.389156147740456,0.6557160060759798,6.475945149033748
1,90,2.0,2.0,3.7618041038513184,3679,662,8.808000000000003,12.77035469408369,0.6897224243959814,4.5644073176931705
1,180,2.0,2.0,14.159815549850464,10745,4094,17.452800000000014,23.266234074452576,0.7501342909278134,9.944629468647221
2,15,0.5,0.5,45.57800579071045,2803,317,9.595200000000002,14.303117712840338,0.6708467477259243,6.405325661207309
2,30,0.5,0.5,29.201119899749756,3178,317,6.681600000000001,10.687985988564906,0.6251505201399643,4.126841633926436
2,45,1.0,1.0,0.7360095977783203,373,21,7.497600000000003,11.829068845537204,0.6338284186103668,4.456614195540012
2,60,1.0,1.0,7.122711420059204,2967,458,11.419200000000007,15.426755291243097,0.7402204666124473,6.210265333792441
2,90,2.0,2.0,9.877488613128662,8179,1903,10.292800000000007,14.992427907106148,0.6865332328942799,6.893719442451609
2,180,2.0,2.0,22.578631162643433,18266,5036,10.9312,12.005951714268122,0.9104817560617986,6.887542411143283
3,15,0.5,0.5,94.26015663146973,6094,934,16.651200000000006,17.214118872914813,0.9672990016468098,7.982669474279508
3,30,0.5,0.5,66.57332611083984,7151,896,9.673600000000008,14.498980241266004,0.6671917499733995,5.315957426110004
3,45,1.0,1.0,18.19501757621765,7034,925,12.678400000000007,17.68216537523457,0.7170162551333912,7.507537998467271
3,60,1.0,1.0,7.046478509902954,2932,303,10.697600000000001,15.033955302677036,0.7115625784849262,5.794139661456761
3,90,2.0,2.0,7.561157941818237,6679,1556,16.080000000000013,19.668792023753024,0.8175387680433549,8.291832904357197
3,180,2.0,2.0,65.42675805091858,45220,13562,17.52640000000001,16.36157235940353,1.0711928911848752,10.7601677362447
4,15,0.5,0.5,30.227294445037842,2358,208,11.124800000000004,15.157108201074088,0.7339658629085765,8.265526914550394
4,30,0.5,0.5,78.60548114776611,8174,1142,11.604800000000003,14.219329576446633,0.8161284916851901,6.679281401282645
4,45,1.0,1.0,5.596625804901123,2261,240,7.891200000000005,10.519588280410087,0.7501434266866935,3.769343627963493
4,60,1.0,1.0,6.66092324256897,2914,337,9.441600000000001,15.010394736782217,0.6290041111886175,5.852234851969088
4,90,2.0,2.0,8.65612006187439,7530,1564,12.630400000000005,17.22348512321767,0.7333242900401106,9.002645362933755
4,180,2.0,2.0,157.19062662124634,97556,27488,12.756800000000009,14.832230313326843,0.8600729445616788,6.526840539571051
5,15,0.5,0.5,52.25086855888367,3432,463,9.953600000000003,13.342853634663893,0.745987348174245,6.294529653028562
5,30,0.5,0.5,28.037657022476196,2883,478,10.678400000000003,17.036451675986868,0.6267971877648306,7.1095310511037475
5,45,1.0,1.0,12.285793781280518,4985,688,8.529600000000006,11.393909057539805,0.7486105038161269,5.240478949523988
5,60,1.0,1.0,13.678304433822632,5589,906,11.795200000000003,12.993340541591813,0.9077881059334549,5.199494598182187
5,90,2.0,2.0,10.10852575302124,8135,2096,12.345600000000008,18.039534018345122,0.684363575436332,9.178322792675473
5,180,2.0,2.0,12.468941688537598,11630,2953,9.459200000000006,13.049916544515908,0.7248475473182345,6.086121462026132
6,15,0.5,0.5,34.83954048156738,2354,202,11.020800000000005,13.635019789326938,0.8082716541876044,6.223769121309189
6,30,0.5,0.5,58.24348759651184,5659,663,13.27040000000001,13.535936471105508,0.9803828518497907,6.613632965455853
6,45,1.0,1.0,12.581210136413574,4770,663,10.313600000000003,11.731705800592543,0.87912194316014,5.520858193701093
6,60,1.0,1.0,12.45323634147644,5480,867,13.528000000000004,14.892504370214422,0.9083764331173554,6.184659776116819
6,90,2.0,2.0,7.462590456008911,4816,870,10.78720000000001,13.429175519162987,0.8032659923617078,4.942184380680885
6,180,2.0,2.0,7.959611892700195,9014,2035,54.328,14.29075493907759,3.8016186150839313,35.943367760940234
7,15,0.5,0.5,7.750591993331909,559,34,9.662400000000005,13.835275779728196,0.6983886807776976,4.41113742899528
7,30,0.5,0.5,33.35384726524353,3492,345,9.136000000000006,13.937148107533087,0.6555143082006828,5.2731056604201685
7,45,1.0,1.0,10.380207777023315,3638,399,9.216000000000008,13.290718833026599,0.6934162189255579,5.399518794007122
7,60,1.0,1.0,12.90290641784668,5321,746,10.310400000000007,13.373980503128777,0.7709297914400234,5.608774257833696
7,90,2.0,2.0,7.329282522201538,6286,1154,9.644800000000004,11.748327075659601,0.8209509267053244,4.739850099717026
7,180,2.0,2.0,3.9317731857299805,4437,940,8.678400000000007,9.75623237525678,0.8895237081488228,4.2566723333176855
8,15,0.5,0.5,42.93953776359558,3094,394,13.190400000000004,14.98569718256895,0.8801992886485657,6.7301953044776415
8,30,0.5,0.5,39.459051847457886,4106,574,14.478400000000006,17.026757537127054,0.850332188523251,7.999822860508107
8,45,1.0,1.0,4.834818363189697,2215,258,9.459200000000004,14.017143397598867,0.6748307933855028,6.0363215814583
8,60,1.0,1.0,150.84134912490845,47452,10357,14.771200000000011,17.71832704494396,0.8336678718330278,8.523593484206117
8,90,2.0,2.0,2.9801390171051025,2822,510,14.166400000000007,19.9578363110556,0.7098164239453432,8.169406260832694
8,180,2.0,2.0,14.579553127288818,11404,3537,11.976000000000006,13.033791206579167,0.9188424005100518,8.211151722753161
9,15,0.5,0.5,147.05244493484497,10120,1448,7.200000000000003,11.914947057235718,0.6042830039792398,5.101270945212533
9,30,0.5,0.5,24.126338720321655,2909,239,8.948800000000002,12.093557746679917,0.7399642179289007,4.148911962397218
9,45,1.0,1.0,20.868472814559937,8120,1214,12.201600000000003,16.73801892471195,0.728975158582573,10.078308109435678
9,60,1.0,1.0,25.5757098197937,9902,1704,12.905600000000003,17.223898211569978,0.7492845023509718,7.5545341350980975
9,90,2.0,2.0,9.903812885284424,7862,1846,11.422400000000007,15.77317254705058,0.7241662998314108,6.425944665597614
9,180,2.0,2.0,0.5996296405792236,878,239,9.356800000000003,12.247878000241563,0.763952743472417,5.9455124083299165
